RecordKey	LineNum	AccountCode	Debit	Credit	DueDate	ProjectCode	Reference1	Reference2	VatAmount	VatDate	VatLine
RecordKey	LineNum	AccountCode	Debit	Credit	DueDate	ProjectCode	Reference1	Reference2	VatAmount	VatDate	VatLine
1	0	_SYS00000000037	880.20	0.00000000	20141201	001		124414		20141201	
1	1	_SYS00000000127	0.00	880.20000000	20141201	001		124414		20141201	
2	0	_SYS00000000127	0.00	390.00000000	20141201	001		125934		20141201	
2	1	_SYS00000000036	390.00	0.00000000	20141201	001		125934		20141201	
3	0	_SYS00000000036	3872.42	0.00000000	20141201	001		129812		20141201	
3	1	_SYS00000000127	0.00	3872.42000000	20141201	001		129812		20141201	
4	0	_SYS00000000127	0.00	329.50000000	20141201	001		264586		20141201	
4	1	_SYS00000000038	329.50	0.00000000	20141201	001		264586		20141201	
5	0	_SYS00000000127	0.00	932.99000000	20141201	001		51796145		20141201	
5	1	_SYS00000000031	932.99	0.00000000	20141201	001		51796145		20141201	
6	0	_SYS00000000127	0.00	423.64000000	20141201	001		882064		20141201	
6	1	_SYS00000000038	423.64	0.00000000	20141201	001		882064		20141201	
7	0	_SYS00000000038	103.55	0.00000000	20141202	001		088348		20141202	
7	1	_SYS00000000127	0.00	103.55000000	20141202	001		088348		20141202	
8	0	_SYS00000000127	0.00	2689.93000000	20141202	001		129814		20141202	
8	1	_SYS00000000036	2689.93	0.00000000	20141202	001		129814		20141202	
9	0	_SYS00000000127	0.00	244.76000000	20141203	001		109487		20141203	
9	1	_SYS00000000038	244.76	0.00000000	20141203	001		109487		20141203	
10	0	_SYS00000000127	0.00	3757.40000000	20141203	001		129815		20141203	
10	1	_SYS00000000036	3757.40	0.00000000	20141203	001		129815		20141203	
11	0	_SYS00000000127	0.00	400.10000000	20141203	001		277166		20141203	
11	1	_SYS00000000038	400.10	0.00000000	20141203	001		277166		20141203	
12	0	_SYS00000000038	489.53	0.00000000	20141203	001		522061		20141203	
12	1	_SYS00000000127	0.00	489.53000000	20141203	001		522061		20141203	
13	0	_SYS00000000127	0.00	635.45000000	20141203	001		608830		20141203	
13	1	_SYS00000000038	635.45	0.00000000	20141203	001		608830		20141203	
14	0	_SYS00000000127	0.00	517.78000000	20141203	001		696621		20141203	
14	1	_SYS00000000037	517.78	0.00000000	20141203	001		696621		20141203	
15	0	_SYS00000000127	0.00	593.10000000	20141203	001		TIGRE1		20141203	
15	1	_SYS00000000038	593.10	0.00000000	20141203	001		TIGRE1		20141203	
16	0	_SYS00000000127	0.00	550.73000000	20141204	001		037668		20141204	
16	1	_SYS00000000038	550.73	0.00000000	20141204	001		037668		20141204	
17	0	_SYS00000000127	0.00	914.98000000	20141204	001		129817		20141204	
17	1	_SYS00000000036	914.98	0.00000000	20141204	001		129817		20141204	
18	0	_SYS00000000038	343.61	0.00000000	20141204	001		212087		20141204	
18	1	_SYS00000000127	0.00	343.61000000	20141204	001		212087		20141204	
19	0	_SYS00000000127	0.00	348.32000000	20141204	001		293908		20141204	
19	1	_SYS00000000038	348.32	0.00000000	20141204	001		293908		20141204	
20	0	_SYS00000000127	0.00	3259.92000000	20141205	001		129818		20141205	
20	1	_SYS00000000036	3259.92	0.00000000	20141205	001		129818		20141205	
21	0	_SYS00000000127	0.00	225.93000000	20141205	001		647274		20141205	
21	1	_SYS00000000037	225.93	0.00000000	20141205	001		647274		20141205	
22	0	_SYS00000000127	0.00	56.49000000	20141205	001		TIGRE1		20141205	
22	1	_SYS00000000038	56.49	0.00000000	20141205	001		TIGRE1		20141205	
23	0	_SYS00000000127	0.00	451.88000000	20141206	001		000935		20141206	
23	1	_SYS00000000038	451.88	0.00000000	20141206	001		000935		20141206	
24	0	_SYS00000000038	456.59	0.00000000	20141206	001		099478		20141206	
24	1	_SYS00000000127	0.00	456.59000000	20141206	001		099478		20141206	
25	0	_SYS00000000127	0.00	7904.84000000	20141206	001		129819		20141206	
25	1	_SYS00000000036	7904.84	0.00000000	20141206	001		129819		20141206	
26	0	_SYS00000000127	0.00	484.82000000	20141206	001		227354		20141206	
26	1	_SYS00000000037	484.82	0.00000000	20141206	001		227354		20141206	
27	0	_SYS00000000127	0.00	484.82000000	20141206	001		241223		20141206	
27	1	_SYS00000000038	484.82	0.00000000	20141206	001		241223		20141206	
28	0	_SYS00000000038	301.25	0.00000000	20141206	001		3328855		20141206	
28	1	_SYS00000000127	0.00	301.25000000	20141206	001		3328855		20141206	
29	0	_SYS00000000127	0.00	741.36000000	20141206	001		40052449		20141206	
29	1	_SYS00000000037	741.36	0.00000000	20141206	001		40052449		20141206	
30	0	_SYS00000000127	0.00	574.27000000	20141206	001		561598		20141206	
30	1	_SYS00000000038	574.27	0.00000000	20141206	001		561598		20141206	
31	0	_SYS00000000038	188.28	0.00000000	20141206	001		572133		20141206	
31	1	_SYS00000000127	0.00	188.28000000	20141206	001		572133		20141206	
32	0	_SYS00000000127	0.00	470.70000000	20141206	001		650494		20141206	
32	1	_SYS00000000037	470.70	0.00000000	20141206	001		650494		20141206	
33	0	_SYS00000000037	484.82	0.00000000	20141206	001		670295		20141206	
33	1	_SYS00000000127	0.00	484.82000000	20141206	001		670295		20141206	
34	0	_SYS00000000127	0.00	329.50000000	20141206	001		671760		20141206	
34	1	_SYS00000000037	329.50	0.00000000	20141206	001		671760		20141206	
35	0	_SYS00000000127	0.00	350.67000000	20141207	001		033961		20141207	
35	1	_SYS00000000038	350.67	0.00000000	20141207	001		033961		20141207	
36	0	_SYS00000000038	390.68	0.00000000	20141207	001		048905		20141207	
36	1	_SYS00000000127	0.00	390.68000000	20141207	001		048905		20141207	
37	0	_SYS00000000127	0.00	498.95000000	20141207	001		049339		20141207	
37	1	_SYS00000000038	498.95	0.00000000	20141207	001		049339		20141207	
38	0	_SYS00000000127	0.00	9489.79000000	20141207	001		129820		20141207	
38	1	_SYS00000000036	9489.79	0.00000000	20141207	001		129820		20141207	
39	0	_SYS00000000127	0.00	788.43000000	20141207	001		173349		20141207	
39	1	_SYS00000000038	788.43	0.00000000	20141207	001		173349		20141207	
