RecordKey	DueDate	Indicator	Memo	ProjectCode	Reference2	ReferenceDate	Reference	Series	StampTax	StornoDate	TaxDate
RecordKey	DueDate	Indicator	Memo	ProjectCode	Reference2	ReferenceDate	Reference	Series	StampTax	StornoDate	TaxDate
4	20141201		Poliza de Depósitos Tienda No. 1	001	264586	20141201					20141201
3	20141201		Poliza de Depósitos Tienda No. 1	001	129812	20141201					20141201
2	20141201		Poliza de Depósitos Tienda No. 1	001	125934	20141201					20141201
6	20141201		Poliza de Depósitos Tienda No. 1	001	882064	20141201					20141201
1	20141201		Poliza de Depósitos Tienda No. 1	001	124414	20141201					20141201
5	20141201		Poliza de Depósitos Tienda No. 1	001	51796145	20141201					20141201
7	20141202		Poliza de Depósitos Tienda No. 1	001	088348	20141202					20141202
8	20141202		Poliza de Depósitos Tienda No. 1	001	129814	20141202					20141202
12	20141203		Poliza de Depósitos Tienda No. 1	001	522061	20141203					20141203
11	20141203		Poliza de Depósitos Tienda No. 1	001	277166	20141203					20141203
15	20141203		Poliza de Depósitos Tienda No. 1	001	TIGRE1	20141203					20141203
9	20141203		Poliza de Depósitos Tienda No. 1	001	109487	20141203					20141203
13	20141203		Poliza de Depósitos Tienda No. 1	001	608830	20141203					20141203
10	20141203		Poliza de Depósitos Tienda No. 1	001	129815	20141203					20141203
14	20141203		Poliza de Depósitos Tienda No. 1	001	696621	20141203					20141203
18	20141204		Poliza de Depósitos Tienda No. 1	001	212087	20141204					20141204
17	20141204		Poliza de Depósitos Tienda No. 1	001	129817	20141204					20141204
19	20141204		Poliza de Depósitos Tienda No. 1	001	293908	20141204					20141204
16	20141204		Poliza de Depósitos Tienda No. 1	001	037668	20141204					20141204
20	20141205		Poliza de Depósitos Tienda No. 1	001	129818	20141205					20141205
21	20141205		Poliza de Depósitos Tienda No. 1	001	647274	20141205					20141205
22	20141205		Poliza de Depósitos Tienda No. 1	001	TIGRE1	20141205					20141205
26	20141206		Poliza de Depósitos Tienda No. 1	001	227354	20141206					20141206
30	20141206		Poliza de Depósitos Tienda No. 1	001	561598	20141206					20141206
34	20141206		Poliza de Depósitos Tienda No. 1	001	671760	20141206					20141206
25	20141206		Poliza de Depósitos Tienda No. 1	001	129819	20141206					20141206
29	20141206		Poliza de Depósitos Tienda No. 1	001	40052449	20141206					20141206
33	20141206		Poliza de Depósitos Tienda No. 1	001	670295	20141206					20141206
24	20141206		Poliza de Depósitos Tienda No. 1	001	099478	20141206					20141206
28	20141206		Poliza de Depósitos Tienda No. 1	001	3328855	20141206					20141206
32	20141206		Poliza de Depósitos Tienda No. 1	001	650494	20141206					20141206
23	20141206		Poliza de Depósitos Tienda No. 1	001	000935	20141206					20141206
27	20141206		Poliza de Depósitos Tienda No. 1	001	241223	20141206					20141206
31	20141206		Poliza de Depósitos Tienda No. 1	001	572133	20141206					20141206
35	20141207		Poliza de Depósitos Tienda No. 1	001	033961	20141207					20141207
39	20141207		Poliza de Depósitos Tienda No. 1	001	173349	20141207					20141207
43	20141207		Poliza de Depósitos Tienda No. 1	001	269828	20141207					20141207
47	20141207		Poliza de Depósitos Tienda No. 1	001	695964	20141207					20141207
51	20141207		Poliza de Depósitos Tienda No. 1	001	984515	20141207					20141207
36	20141207		Poliza de Depósitos Tienda No. 1	001	048905	20141207					20141207
40	20141207		Poliza de Depósitos Tienda No. 1	001	189123	20141207					20141207
44	20141207		Poliza de Depósitos Tienda No. 1	001	364699	20141207					20141207
48	20141207		Poliza de Depósitos Tienda No. 1	001	902670	20141207					20141207
37	20141207		Poliza de Depósitos Tienda No. 1	001	049339	20141207					20141207
41	20141207		Poliza de Depósitos Tienda No. 1	001	201404	20141207					20141207
45	20141207		Poliza de Depósitos Tienda No. 1	001	458942	20141207					20141207
49	20141207		Poliza de Depósitos Tienda No. 1	001	904358	20141207					20141207
38	20141207		Poliza de Depósitos Tienda No. 1	001	129820	20141207					20141207
42	20141207		Poliza de Depósitos Tienda No. 1	001	202442	20141207					20141207
46	20141207		Poliza de Depósitos Tienda No. 1	001	460100	20141207					20141207
50	20141207		Poliza de Depósitos Tienda No. 1	001	906047	20141207					20141207
54	20141208		Poliza de Depósitos Tienda No. 1	001	125824	20141208					20141208
58	20141208		Poliza de Depósitos Tienda No. 1	001	337618	20141208					20141208
53	20141208		Poliza de Depósitos Tienda No. 1	001	068289	20141208					20141208
57	20141208		Poliza de Depósitos Tienda No. 1	001	275602	20141208					20141208
52	20141208		Poliza de Depósitos Tienda No. 1	001	006029	20141208					20141208
56	20141208		Poliza de Depósitos Tienda No. 1	001	257740	20141208					20141208
60	20141208		Poliza de Depósitos Tienda No. 1	001	723060	20141208					20141208
55	20141208		Poliza de Depósitos Tienda No. 1	001	215051	20141208					20141208
59	20141208		Poliza de Depósitos Tienda No. 1	001	648034	20141208					20141208
63	20141209		Poliza de Depósitos Tienda No. 1	001	125909	20141209					20141209
61	20141209		Poliza de Depósitos Tienda No. 1	001	  178829	20141209					20141209
62	20141209		Poliza de Depósitos Tienda No. 1	001	066082	20141209					20141209
66	20141210		Poliza de Depósitos Tienda No. 1	001	315348	20141210					20141210
65	20141210		Poliza de Depósitos Tienda No. 1	001	276413	20141210					20141210
64	20141210		Poliza de Depósitos Tienda No. 1	001	125927	20141210					20141210
68	20141211		Poliza de Depósitos Tienda No. 1	001	125911	20141211					20141211
72	20141211		Poliza de Depósitos Tienda No. 1	001	661585	20141211					20141211
67	20141211		Poliza de Depósitos Tienda No. 1	001	060965	20141211					20141211
71	20141211		Poliza de Depósitos Tienda No. 1	001	60053698	20141211					20141211
69	20141211		Poliza de Depósitos Tienda No. 1	001	318045	20141211					20141211
73	20141211		Poliza de Depósitos Tienda No. 1	001	676750	20141211					20141211
70	20141211		Poliza de Depósitos Tienda No. 1	001	332208	20141211					20141211
74	20141212		Poliza de Depósitos Tienda No. 1	001	000979	20141212					20141212
78	20141212		Poliza de Depósitos Tienda No. 1	001	603286	20141212					20141212
77	20141212		Poliza de Depósitos Tienda No. 1	001	60051027	20141212					20141212
81	20141212		Poliza de Depósitos Tienda No. 1	001	686998	20141212					20141212
75	20141212		Poliza de Depósitos Tienda No. 1	001	125912	20141212					20141212
79	20141212		Poliza de Depósitos Tienda No. 1	001	606316	20141212					20141212
76	20141212		Poliza de Depósitos Tienda No. 1	001	346713	20141212					20141212
80	20141212		Poliza de Depósitos Tienda No. 1	001	686969	20141212					20141212
84	20141213		Poliza de Depósitos Tienda No. 1	001	014720	20141213					20141213
88	20141213		Poliza de Depósitos Tienda No. 1	001	098236	20141213					20141213
92	20141213		Poliza de Depósitos Tienda No. 1	001	217241	20141213					20141213
96	20141213		Poliza de Depósitos Tienda No. 1	001	585192	20141213					20141213
100	20141213		Poliza de Depósitos Tienda No. 1	001	663051	20141213					20141213
104	20141213		Poliza de Depósitos Tienda No. 1	001	859367	20141213					20141213
83	20141213		Poliza de Depósitos Tienda No. 1	001	007637	20141213					20141213
87	20141213		Poliza de Depósitos Tienda No. 1	001	049459	20141213					20141213
91	20141213		Poliza de Depósitos Tienda No. 1	001	201335	20141213					20141213
95	20141213		Poliza de Depósitos Tienda No. 1	001	398421	20141213					20141213
99	20141213		Poliza de Depósitos Tienda No. 1	001	655522	20141213					20141213
103	20141213		Poliza de Depósitos Tienda No. 1	001	826772	20141213					20141213
85	20141213		Poliza de Depósitos Tienda No. 1	001	035908	20141213					20141213
89	20141213		Poliza de Depósitos Tienda No. 1	001	125953	20141213					20141213
93	20141213		Poliza de Depósitos Tienda No. 1	001	230861	20141213					20141213
97	20141213		Poliza de Depósitos Tienda No. 1	001	643462	20141213					20141213
101	20141213		Poliza de Depósitos Tienda No. 1	001	755845	20141213					20141213
105	20141213		Poliza de Depósitos Tienda No. 1	001	884282	20141213					20141213
82	20141213		Poliza de Depósitos Tienda No. 1	001	003892	20141213					20141213
86	20141213		Poliza de Depósitos Tienda No. 1	001	044936	20141213					20141213
90	20141213		Poliza de Depósitos Tienda No. 1	001	133596	20141213					20141213
94	20141213		Poliza de Depósitos Tienda No. 1	001	243868	20141213					20141213
98	20141213		Poliza de Depósitos Tienda No. 1	001	645970	20141213					20141213
102	20141213		Poliza de Depósitos Tienda No. 1	001	818534	20141213					20141213
106	20141213		Poliza de Depósitos Tienda No. 1	001	942022	20141213					20141213
110	20141214		Poliza de Depósitos Tienda No. 1	001	184123	20141214					20141214
114	20141214		Poliza de Depósitos Tienda No. 1	001	240318	20141214					20141214
118	20141214		Poliza de Depósitos Tienda No. 1	001	403372	20141214					20141214
122	20141214		Poliza de Depósitos Tienda No. 1	001	680552	20141214					20141214
126	20141214		Poliza de Depósitos Tienda No. 1	001	950057	20141214					20141214
109	20141214		Poliza de Depósitos Tienda No. 1	001	167042	20141214					20141214
113	20141214		Poliza de Depósitos Tienda No. 1	001	233780	20141214					20141214
117	20141214		Poliza de Depósitos Tienda No. 1	001	370551	20141214					20141214
121	20141214		Poliza de Depósitos Tienda No. 1	001	649666	20141214					20141214
125	20141214		Poliza de Depósitos Tienda No. 1	001	912119	20141214					20141214
107	20141214		Poliza de Depósitos Tienda No. 1	001	001008	20141214					20141214
111	20141214		Poliza de Depósitos Tienda No. 1	001	203825	20141214					20141214
115	20141214		Poliza de Depósitos Tienda No. 1	001	278046	20141214					20141214
119	20141214		Poliza de Depósitos Tienda No. 1	001	534837	20141214					20141214
123	20141214		Poliza de Depósitos Tienda No. 1	001	695718	20141214					20141214
127	20141214		Poliza de Depósitos Tienda No. 1	001	958820	20141214					20141214
108	20141214		Poliza de Depósitos Tienda No. 1	001	125933	20141214					20141214
112	20141214		Poliza de Depósitos Tienda No. 1	001	205794	20141214					20141214
116	20141214		Poliza de Depósitos Tienda No. 1	001	311910	20141214					20141214
120	20141214		Poliza de Depósitos Tienda No. 1	001	621824	20141214					20141214
124	20141214		Poliza de Depósitos Tienda No. 1	001	905012	20141214					20141214
128	20141214		Poliza de Depósitos Tienda No. 1	001	961264	20141214					20141214
132	20141215		Poliza de Depósitos Tienda No. 1	001	125913	20141215					20141215
136	20141215		Poliza de Depósitos Tienda No. 1	001	306578	20141215					20141215
140	20141215		Poliza de Depósitos Tienda No. 1	001	788091	20141215					20141215
131	20141215		Poliza de Depósitos Tienda No. 1	001	095802	20141215					20141215
135	20141215		Poliza de Depósitos Tienda No. 1	001	285904	20141215					20141215
139	20141215		Poliza de Depósitos Tienda No. 1	001	786469	20141215					20141215
129	20141215		Poliza de Depósitos Tienda No. 1	001	010528	20141215					20141215
133	20141215		Poliza de Depósitos Tienda No. 1	001	241214	20141215					20141215
137	20141215		Poliza de Depósitos Tienda No. 1	001	361968	20141215					20141215
130	20141215		Poliza de Depósitos Tienda No. 1	001	062919	20141215					20141215
134	20141215		Poliza de Depósitos Tienda No. 1	001	264497	20141215					20141215
138	20141215		Poliza de Depósitos Tienda No. 1	001	469997	20141215					20141215
142	20141216		Poliza de Depósitos Tienda No. 1	001	079701	20141216					20141216
146	20141216		Poliza de Depósitos Tienda No. 1	001	204259	20141216					20141216
150	20141216		Poliza de Depósitos Tienda No. 1	001	673891	20141216					20141216
154	20141216		Poliza de Depósitos Tienda No. 1	001	978060	20141216					20141216
141	20141216		Poliza de Depósitos Tienda No. 1	001	029768	20141216					20141216
145	20141216		Poliza de Depósitos Tienda No. 1	001	138008	20141216					20141216
149	20141216		Poliza de Depósitos Tienda No. 1	001	427494	20141216					20141216
153	20141216		Poliza de Depósitos Tienda No. 1	001	923389	20141216					20141216
143	20141216		Poliza de Depósitos Tienda No. 1	001	087991	20141216					20141216
147	20141216		Poliza de Depósitos Tienda No. 1	001	219659	20141216					20141216
151	20141216		Poliza de Depósitos Tienda No. 1	001	694322	20141216					20141216
144	20141216		Poliza de Depósitos Tienda No. 1	001	094440	20141216					20141216
148	20141216		Poliza de Depósitos Tienda No. 1	001	250377	20141216					20141216
152	20141216		Poliza de Depósitos Tienda No. 1	001	787893	20141216					20141216
156	20141217		Poliza de Depósitos Tienda No. 1	001	069569	20141217					20141217
160	20141217		Poliza de Depósitos Tienda No. 1	001	202669	20141217					20141217
164	20141217		Poliza de Depósitos Tienda No. 1	001	267429	20141217					20141217
168	20141217		Poliza de Depósitos Tienda No. 1	001	675985	20141217					20141217
155	20141217		Poliza de Depósitos Tienda No. 1	001	014355	20141217					20141217
159	20141217		Poliza de Depósitos Tienda No. 1	001	156403	20141217					20141217
163	20141217		Poliza de Depósitos Tienda No. 1	001	249795	20141217					20141217
